1650000	900000	0
1500000	700000	0
1750000	900000	0
500000	250000	0
1000000	350000	0
1000000	300000	0
500000	250000	0
1200000	550000	0
1200000	550000	0
1000000	600000	0
500000	350000	0
1500000	700000	0
1500000	1100000	0
800000	400000	0
4000000	2350000	0
1000000	400000	0
4500000	1500000	0
2000000	1000000	0
1500000	700000	0
500000	250000	0
4700000	2000000	0
500000	500000	0
1250000	600000	0
1000000	350000	0
1700000	800000	0
2000000	900000	0
1000000	300000	0
3000000	1900000	0
3500000	2000000	0
3000000	900000	450000
3000000	900000	500000
2800000	650000	600000
1500000	800000	0
1500000	800000	0
1500000	800000	0
1000000	300000	0
1500000	800000	0
2000000	1000000	0
1000000	300000	0
1500000	800000	0
1500000	800000	0
1000000	300000	0
500000	200000	0
500000	250000	0
500000	200000	0
1000000	300000	0
500000	250000	0
1300000	600000	0
500000	250000	0
1000000	300000	0
550000	250000	0
500000	500000	0
900000	600000	0
550000	300000	0
800000	300000	0
1500000	800000	0
500000	200000	0
500000	200000	0
1000000	500000	0
1500000	700000	0
1000000	250000	250000
500000	200000	0
1500000	500000	0
1000000	300000	0
500000	250000	0
1000000	500000	0
1500000	700000	0
600000	350000	0
1000000	500000	0
1500000	800000	0
1000000	300000	0
1000000	500000	0
1000000	600000	0
500000	250000	0
1000000	300000	0
700000	300000	0
1500000	800000	0
2250000	700000	0
1000000	600000	0
1050000	550000	0
4000000	2000000	0
1050000	550000	0
1600000	800000	0
1700000	800000	0
